a, 0
d, 1010
e, 111
g, 110
h, 10111
i, 100
o, 10110
(aidohge, 1000, , a, idohge, NULL)
(a, 400, 0, NULL, NULL, idohge)
(idohge, 600, , idoh, ge, aidohge)
(idoh, 250, , i, doh, ge)
(i, 100, 100, NULL, NULL, doh)
(doh, 150, , d, oh, g)
(d, 50, 1010, NULL, NULL, oh)
(oh, 100, , o, h, i)
(o, 50, 10110, NULL, NULL, h)
(h, 50, 10111, NULL, NULL, d)
(ge, 350, , g, e, a)
(g, 150, 110, NULL, NULL, e)
(e, 200, 111, NULL, NULL, idoh)
(a, 400, 0, NULL, NULL, idohge)
(aidohge, 1000, , a, idohge, NULL)
(i, 100, 100, NULL, NULL, doh)
(idoh, 250, , i, doh, ge)
(d, 50, 1010, NULL, NULL, oh)
(doh, 150, , d, oh, g)
(o, 50, 10110, NULL, NULL, h)
(oh, 100, , o, h, i)
(h, 50, 10111, NULL, NULL, d)
(idohge, 600, , idoh, ge, aidohge)
(g, 150, 110, NULL, NULL, e)
(ge, 350, , g, e, a)
(e, 200, 111, NULL, NULL, idoh)
(a, 400, 0, NULL, NULL, idohge)
(i, 100, 100, NULL, NULL, doh)
(d, 50, 1010, NULL, NULL, oh)
(o, 50, 10110, NULL, NULL, h)
(h, 50, 10111, NULL, NULL, d)
(oh, 100, , o, h, i)
(doh, 150, , d, oh, g)
(idoh, 250, , i, doh, ge)
(g, 150, 110, NULL, NULL, e)
(e, 200, 111, NULL, NULL, idoh)
(ge, 350, , g, e, a)
(idohge, 600, , idoh, ge, aidohge)
(aidohge, 1000, , a, idohge, NULL)
