Enter constructHuffmanLList() method
(dummy, 0, , NULL, NULL, a) -->
(a, 400, , NULL, NULL, NULL) --> NULL
(dummy, 0, , NULL, NULL, d) -->
(d, 30, , NULL, NULL, a) -->
(a, 400, , NULL, NULL, NULL) --> NULL
(dummy, 0, , NULL, NULL, d) -->
(d, 30, , NULL, NULL, e) -->
(e, 200, , NULL, NULL, a) -->
(a, 400, , NULL, NULL, NULL) --> NULL
(dummy, 0, , NULL, NULL, h) -->
(h, 10, , NULL, NULL, d) -->
(d, 30, , NULL, NULL, e) -->
(e, 200, , NULL, NULL, a) -->
(a, 400, , NULL, NULL, NULL) --> NULL
(dummy, 0, , NULL, NULL, h) -->
(h, 10, , NULL, NULL, d) -->
(d, 30, , NULL, NULL, i) -->
(i, 100, , NULL, NULL, e) -->
(e, 200, , NULL, NULL, a) -->
(a, 400, , NULL, NULL, NULL) --> NULL
(dummy, 0, , NULL, NULL, g) -->
(g, 10, , NULL, NULL, h) -->
(h, 10, , NULL, NULL, d) -->
(d, 30, , NULL, NULL, i) -->
(i, 100, , NULL, NULL, e) -->
(e, 200, , NULL, NULL, a) -->
(a, 400, , NULL, NULL, NULL) --> NULL
(dummy, 0, , NULL, NULL, g) -->
(g, 10, , NULL, NULL, h) -->
(h, 10, , NULL, NULL, d) -->
(d, 30, , NULL, NULL, o) -->
(o, 50, , NULL, NULL, i) -->
(i, 100, , NULL, NULL, e) -->
(e, 200, , NULL, NULL, a) -->
(a, 400, , NULL, NULL, NULL) --> NULL
(dummy, 0, , NULL, NULL, g) -->
(g, 10, , NULL, NULL, h) -->
(h, 10, , NULL, NULL, s) -->
(s, 20, , NULL, NULL, d) -->
(d, 30, , NULL, NULL, o) -->
(o, 50, , NULL, NULL, i) -->
(i, 100, , NULL, NULL, e) -->
(e, 200, , NULL, NULL, a) -->
(a, 400, , NULL, NULL, NULL) --> NULL
(dummy, 0, , NULL, NULL, g) -->
(g, 10, , NULL, NULL, h) -->
(h, 10, , NULL, NULL, s) -->
(s, 20, , NULL, NULL, d) -->
(d, 30, , NULL, NULL, t) -->
(t, 50, , NULL, NULL, o) -->
(o, 50, , NULL, NULL, i) -->
(i, 100, , NULL, NULL, e) -->
(e, 200, , NULL, NULL, a) -->
(a, 400, , NULL, NULL, NULL) --> NULL
(dummy, 0, , NULL, NULL, c) -->
(c, 10, , NULL, NULL, g) -->
(g, 10, , NULL, NULL, h) -->
(h, 10, , NULL, NULL, s) -->
(s, 20, , NULL, NULL, d) -->
(d, 30, , NULL, NULL, t) -->
(t, 50, , NULL, NULL, o) -->
(o, 50, , NULL, NULL, i) -->
(i, 100, , NULL, NULL, e) -->
(e, 200, , NULL, NULL, a) -->
(a, 400, , NULL, NULL, NULL) --> NULL
(dummy, 0, , NULL, NULL, l) -->
(l, 10, , NULL, NULL, c) -->
(c, 10, , NULL, NULL, g) -->
(g, 10, , NULL, NULL, h) -->
